70800 3
20 2 0.000000
21 2 0.000000
22 2 0.000000
23 2 0.000000
24 2 0.000000
25 2 0.000000
26 2 0.000000
27 2 0.000000
28 2 0.000000
29 2 0.000000
30 2 0.000000
31 2 0.000000
32 2 0.000000
33 2 0.000000
34 2 0.000000
35 2 0.000000
36 2 0.000000
37 2 0.000000
38 2 0.000000
39 2 0.000000
2428 2 0.000000
2429 2 0.000000
2430 2 0.000000
2431 2 0.000000
2432 2 0.000000
2433 2 0.000000
2434 2 0.000000
2435 2 0.000000
2436 2 0.000000
2437 2 0.000000
2438 2 0.000000
2439 2 0.000000
2440 2 0.000000
2441 2 0.000000
2442 2 0.000000
2443 2 0.000000
2444 2 0.000000
2445 2 0.000000
2446 2 0.000000
2447 2 0.000000
2448 2 0.000000
2449 2 0.000000
2450 2 0.000000
2451 2 0.000000
2452 2 0.000000
2453 2 0.000000
2454 2 0.000000
2455 2 0.000000
2456 2 0.000000
2457 2 0.000000
2458 2 0.000000
2459 2 0.000000
2460 2 0.000000
2461 2 0.000000
2462 2 0.000000
2463 2 0.000000
2464 2 0.000000
2465 2 0.000000
2466 2 0.000000
2467 2 0.000000
2468 2 0.000000
2469 2 0.000000
2470 2 0.000000
2471 2 0.000000
2472 2 0.000000
2473 2 0.000000
2474 2 0.000000
2475 2 0.000000
2476 2 0.000000
2477 2 0.000000
2478 2 0.000000
2479 2 0.000000
2480 2 0.000000
2481 2 0.000000
2482 2 0.000000
2483 2 0.000000
2484 2 0.000000
2485 2 0.000000
2486 2 0.000000
2487 2 0.000000
2488 2 0.000000
2489 2 0.000000
2490 2 0.000000
2491 2 0.000000
2492 2 0.000000
2493 2 0.000000
2494 2 0.000000
2495 2 0.000000
2496 2 0.000000
2497 2 0.000000
2498 2 0.000000
2499 2 0.000000
2500 2 0.000000
2501 2 0.000000
2502 2 0.000000
2503 2 0.000000
2504 2 0.000000
2505 2 0.000000
2506 2 0.000000
2507 2 0.000000
2508 2 0.000000
2509 2 0.000000
2510 2 0.000000
2511 2 0.000000
2512 2 0.000000
2513 2 0.000000
2514 2 0.000000
